x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,Y1
9,3,0.29,2.87,431,3.43,2.9,0.84,19.56,4.58,62.93,3.46,0.1,0.94,16.1
9,3,0.19,2.43,422,3.9,2.92,0.79,19.88,4.58,63.16,3.22,0.04,0.88,16.1
10,3,0.13,1.96,408,3.94,2.9,0.57,19.7,4.12,62.82,3.94,0.03,0.84,16.1
3,3,0.19,2.1,330,3.77,2.9,0.66,19.76,4.29,63.01,3.73,0.04,0.93,16.1
4,3,0.34,2.49,416,4.11,2.95,0.69,19.98,4.08,62.98,3.85,0.04,0.98,16.1
10,3,0.18,2.27,398,3.74,2.83,0.83,19.67,4.73,62.97,3.17,0.03,0.94,16.2
11,3,0.27,2.37,402,3.78,2.93,0.65,19.41,4.24,62.23,3.9,0.03,0.86,16.2
2,2,0.32,2.38,417,2.41,2.86,0.69,21.68,4.49,61.9,4.69,0.11,1.2,16.3
8,2,0.25,2.39,430,1.64,2.94,0.89,21.93,4.56,61.63,4.34,0.14,1.07,16.3
8,3,0.42,2.3,433,2.21,2.9,0.9,22.38,4.7,61.04,4.34,0.11,1.15,16.3
5,2,0.25,2.27,378,2.11,3.03,0.74,20.85,4.42,63.14,3.81,0.05,0.97,16.3
3,3,0.4,2.05,399,1.98,2.83,0.64,22.6,4.26,61.05,4.72,0.13,1.15,16.4
8,2,0.22,2.35,435,3.7,2.86,0.88,20.15,4.24,62.93,3.64,0.11,0.96,16.4
9,2,0.26,2.86,431,3.39,2.79,0.92,20.89,3.87,62.15,3.95,0.12,1.02,16.4
4,2,0.27,1.66,392,1.84,2.94,0.79,20.99,4.72,62.32,4.01,0.05,0.99,16.4
9,3,0.29,2.84,423,3.51,3.12,0.8,20,4.83,62.63,3.13,0.06,0.83,16.4
11,3,0.3,2.58,410,3.81,2.84,0.54,19.58,4.24,62.91,4.04,0.03,0.89,16.4
11,3,0.2,2.16,381,3.95,2.78,0.55,19.8,4.28,63,3.96,0.03,0.89,16.4
1,3,0.38,2.82,411,3.83,2.69,0.59,19.72,4.28,62.85,3.92,0.03,0.9,16.4
3,3,0.35,2.3,403,1.76,2.95,0.64,22.73,4.23,60.41,4.77,0.13,1.21,16.5
7,2,0.25,2.3,472,2.55,2.92,0.86,22.9,4.49,60.88,4.86,0.14,1,16.5
6,3,0.19,2.2,393,2.14,2.85,0.84,19.61,4.32,62.24,3.48,0.1,0.8,16.5
7,3,0.16,3.58,439,4.63,2.82,0.69,19.34,3.98,63.55,3.71,0.03,0.81,16.5
7,3,0.4,2.3,427,3.58,3.07,0.62,19.53,4.15,63.65,3.76,0.03,0.79,16.5
8,3,0.12,2,424,3.77,2.95,0.84,19.44,3.99,62.45,3.92,0.1,0.74,16.5
12,3,0.3,3.4,388,3.58,2.78,0.65,19.53,4.15,62.48,3.91,0.03,0.99,16.5
4,2,0.19,1.86,412,3.7,2.89,0.66,20.16,4.32,63.01,3.85,0.09,0.91,16.5
6,2,0.74,3.5,427,3.9,2.81,0.64,19.9,4.22,63.06,4.03,0.12,0.89,16.6
7,3,0,2.1,425,3.66,2.84,0.84,19.48,4.1,62.74,3.83,0.1,0.92,16.6
7,2,0.33,2.4,424,3.55,2.99,0.61,19.55,4.14,63.72,3.71,0.03,0.78,16.6
5,3,0.16,1.71,411,1.88,2.96,0.73,20.01,4.24,63.31,3.69,0.04,0.94,16.7
12,3,0.24,2.35,400,2.36,2.88,0.78,20.16,4.67,63,3.35,0.04,0.87,16.7
3,3,0.2,2.69,385,4.77,2.85,0.58,19.81,4.21,61.58,3.83,0.04,1.03,16.7
3,3,0.29,2.4,396,3.6,2.83,0.6,19.49,4.46,62.61,3.65,0.03,0.89,16.7
3,3,0.37,3.26,402,3.96,2.88,0.65,19.7,4.34,62.62,3.83,0.04,0.98,16.7
3,3,0.3,2.64,424,3.58,2.94,0.66,19.94,4.29,62.76,3.86,0.04,1.02,16.7
3,3,0.17,2.07,415,3.95,3.01,0.67,20.16,4.32,63.06,3.8,0.04,0.94,16.7
3,3,0.09,1.52,426,1.65,3.2,0.93,22.64,3.99,60.42,4.81,0.1,1.17,16.8
7,2,0.28,2.3,429,3.68,2.92,0.64,19.66,3.99,63.53,3.93,0.03,0.86,16.8
